ActivityDate,Id,TotalSteps,TotalDistance,Calories,VeryActiveMinutes,LightlyActiveMinutes,SedentaryMinutes
3/25/2016,99990001,4387,5.008555985307794,2002,5,187,1146
3/26/2016,99990001,13266,4.5338838621845525,2444,17,134,736
3/27/2016,99990001,4754,7.386234296560152,2422,0,82,935
3/28/2016,99990001,8049,6.568411321400776,2402,0,191,1124
3/29/2016,99990001,5868,3.8851870175467567,2086,9,169,816
3/30/2016,99990001,7637,6.0056425718872495,2764,8,86,1072
3/31/2016,99990001,5765,4.549660859285963,2138,0,142,1067
4/1/2016,99990001,5335,4.85219240454728,2368,29,254,977
4/10/2016,99990001,8801,7.350524821233837,2093,9,133,958
4/11/2016,99990001,11269,5.488530926933582,2444,12,224,1012
4/12/2016,99990001,6452,6.848136912404209,1683,10,182,855
4/2/2016,99990001,7014,6.364851170404496,2265,9,139,1068
4/3/2016,99990001,6566,4.599360668810728,1999,13,174,1120
4/4/2016,99990001,3678,4.327930988730191,1937,24,144,1266
4/5/2016,99990001,3692,3.6816547902165433,1974,0,229,853
4/6/2016,99990001,8544,5.218574647661027,1725,0,161,1145
4/7/2016,99990001,4746,3.204739691111671,1655,9,171,1208
4/8/2016,99990001,8692,5.023547560906619,2520,10,144,1009
4/9/2016,99990001,5193,4.21793285573451,2075,20,152,1259
3/25/2016,99990002,5626,3.778487495264587,2108,15,168,1139
3/26/2016,99990002,6993,6.2241433909375505,1931,13,242,1164
3/27/2016,99990002,2605,4.976732847265342,2487,22,202,940
3/28/2016,99990002,6625,3.141503547584988,1962,35,185,859
3/29/2016,99990002,6032,6.243582692189064,1892,16,244,826
3/30/2016,99990002,5308,3.1685260494389,1936,15,260,1005
3/31/2016,99990002,6366,1.6449362202461435,2398,4,143,1046
4/1/2016,99990002,4491,6.074346494080221,2007,23,127,984
4/10/2016,99990002,4193,3.1222234019427475,1657,27,166,1325
4/11/2016,99990002,6266,4.49238195723919,2027,5,73,1023
4/12/2016,99990002,6311,5.007108451217199,2124,14,215,959
4/2/2016,99990002,9995,4.421718919857649,2569,26,136,937
4/3/2016,99990002,7203,3.9458771218250126,2532,5,225,1128
4/4/2016,99990002,5341,5.576885958417303,2482,0,197,943
4/5/2016,99990002,7297,4.864504422405721,2197,40,140,943
4/6/2016,99990002,10426,5.147097030866047,2379,21,193,945
4/7/2016,99990002,6751,4.1304676901869835,2012,35,158,1059
4/8/2016,99990002,8598,4.00812217122477,2250,30,132,1067
4/9/2016,99990002,8914,3.5494432376543084,1596,16,249,1170
4/1/2016,99990003,4485,2.95620294289893,1999,13,131,1043
4/10/2016,99990003,4321,4.280460010480623,1996,14,175,1013
4/2/2016,99990003,6211,2.328601803440477,1866,6,203,946
4/3/2016,99990003,6753,6.673547906982931,2240,9,123,1098
4/4/2016,99990003,4560,7.947311068298815,2452,17,191,995
4/5/2016,99990003,10605,3.030490827155771,2230,31,118,1121
4/6/2016,99990003,9973,4.476136326928527,2243,28,176,975
4/7/2016,99990003,6417,4.515997691905094,2671,9,207,974
4/8/2016,99990003,7933,5.037009016856277,2551,26,199,886
4/9/2016,99990003,6640,3.908680097538256,2359,25,197,1026
4/1/2016,99990004,4249,9.208536298183217,2809,14,190,1134
4/10/2016,99990004,6937,5.055170777620164,2865,19,165,991
4/11/2016,99990004,8306,3.4264799933945818,2224,19,102,952
4/12/2016,99990004,7365,3.749735185279012,1995,31,130,944
4/2/2016,99990004,5684,4.587767566856625,1351,20,142,1137
4/3/2016,99990004,8925,5.361847670325993,2424,21,139,1048
4/4/2016,99990004,2511,3.5430879876239034,1837,4,98,838
4/5/2016,99990004,7012,3.5855111260954846,2000,17,79,1029
4/6/2016,99990004,2698,4.681855111601107,2336,23,102,961
4/7/2016,99990004,7808,2.8514141658301124,1852,5,160,983
4/8/2016,99990004,9760,4.055975122055464,2277,2,112,969
4/9/2016,99990004,6277,4.785149092126404,1609,1,146,1191
4/1/2016,99990005,7587,4.775139822993314,2309,16,180,1014
4/10/2016,99990005,7196,3.8692302932372136,2237,12,263,838
4/11/2016,99990005,11459,3.491887418450358,2413,6,195,1151
4/12/2016,99990005,7522,5.116282676208456,2415,0,185,1066
4/2/2016,99990005,5695,4.923186567965987,1995,24,185,730
4/3/2016,99990005,7791,5.336910695327818,2455,6,124,972
4/4/2016,99990005,3755,6.39878844607224,2053,0,131,881
4/5/2016,99990005,6051,3.252790244856457,2449,11,108,911
4/6/2016,99990005,4149,5.5010241232287145,1972,9,205,849
4/7/2016,99990005,3706,3.068420575834635,2454,12,182,982
4/8/2016,99990005,5809,3.741862806665059,1911,18,184,893
4/9/2016,99990005,6039,5.613042268333944,2289,19,205,1175
4/1/2016,99990006,2347,4.613950086848508,2114,15,290,1110
4/10/2016,99990006,4420,7.794962605340701,2085,11,217,846
4/11/2016,99990006,5813,6.651374904889596,2011,26,227,1029
4/12/2016,99990006,4967,5.79286681660946,1880,8,149,1104
4/2/2016,99990006,1051,4.370882342652438,2340,13,220,1067
4/3/2016,99990006,4590,7.042152787629309,1914,0,39,962
4/4/2016,99990006,7124,4.884918373421489,1992,25,226,991
4/5/2016,99990006,5918,2.920865038841286,2488,15,179,1163
4/6/2016,99990006,4825,5.53906678269028,1814,4,167,1083
4/7/2016,99990006,5447,4.087263280221642,1982,22,127,937
4/8/2016,99990006,6848,5.774269029715715,2319,18,177,1087
4/9/2016,99990006,5470,5.887038077606643,2566,14,39,867
4/1/2016,99990007,5814,4.567347453579799,2202,41,63,870
4/10/2016,99990007,6009,6.211587673269972,1741,0,122,1212
4/11/2016,99990007,9586,5.53800424489304,2068,0,106,842
4/12/2016,99990007,4001,3.9598342272497793,2193,0,167,983
4/2/2016,99990007,8618,2.8806685538556387,1736,1,179,787
4/3/2016,99990007,5658,2.3806712235103222,2049,1,176,1187
4/4/2016,99990007,5171,2.0559892944987874,2129,30,150,719
4/5/2016,99990007,3121,5.04945133025862,2414,10,129,1166
4/6/2016,99990007,8267,5.921921540102115,2236,6,151,966
4/7/2016,99990007,3143,3.094797249033354,2066,0,178,1093
4/8/2016,99990007,4469,4.8361807874353255,2413,5,227,1097
4/9/2016,99990007,7521,3.5431276500431403,2223,24,115,1010
4/1/2016,99990008,5603,3.112962872178546,2005,6,194,995
4/10/2016,99990008,2875,4.300998564969187,2628,16,182,987
4/11/2016,99990008,8118,1.9511286104039343,2545,20,156,1043
4/12/2016,99990008,5118,4.7188210011006975,2247,14,162,979
4/2/2016,99990008,11602,4.152385722901554,2376,17,184,1168
4/3/2016,99990008,5327,6.5767948008329284,2426,37,99,1001
4/4/2016,99990008,7007,4.86131573096837,2275,2,240,739
4/5/2016,99990008,6228,4.3604451300404286,2309,24,75,1014
4/6/2016,99990008,5815,0.5821442318404308,1842,11,188,943
4/7/2016,99990008,8395,2.9441926115344517,1574,7,201,947
4/8/2016,99990008,7288,1.7793344390716759,2269,4,115,989
4/9/2016,99990008,7377,4.772151499636452,1997,18,237,1060
3/29/2016,99990009,5869,4.065539988544562,2003,25,202,941
3/30/2016,99990009,7138,5.650766896412064,2727,33,196,944
3/31/2016,99990009,4813,4.197034552529266,2394,9,166,882
4/1/2016,99990009,5299,4.535399990254209,1664,13,177,681
4/10/2016,99990009,6965,3.8388816563816333,2485,21,164,887
4/11/2016,99990009,4925,4.138410448434594,2118,27,182,668
4/12/2016,99990009,7891,5.596450983387651,1832,31,198,1158
4/2/2016,99990009,8977,3.7171153119166394,1767,4,179,1170
4/3/2016,99990009,5768,3.021217169870222,2471,0,185,1032
4/4/2016,99990009,6809,4.340115923485738,2095,9,163,1018
4/5/2016,99990009,7404,4.548912178627591,2587,1,156,799
4/6/2016,99990009,5405,6.58249061259894,2043,44,220,784
4/7/2016,99990009,11460,2.5511021680066586,2347,9,206,1049
4/8/2016,99990009,5197,5.395452720271426,2708,2,171,885
4/9/2016,99990009,8398,7.110369904300901,1804,0,228,916
4/1/2016,99990010,4342,5.8495985433444195,2244,15,62,1169
4/10/2016,99990010,6590,3.0869332106644025,2560,9,168,1315
4/11/2016,99990010,9370,5.810705559909514,2240,18,137,990
4/12/2016,99990010,7969,7.511944441569036,2066,20,224,1048
4/2/2016,99990010,10305,6.5733801041511715,2520,25,220,971
4/3/2016,99990010,6282,4.595713627401094,2128,11,264,917
4/4/2016,99990010,4169,2.8135958434459845,2873,26,39,765
4/5/2016,99990010,8399,5.229325046727404,2081,3,173,1064
4/6/2016,99990010,6815,4.421542230966397,1984,11,128,935
4/7/2016,99990010,4985,6.559600608685491,2747,35,155,1076
4/8/2016,99990010,5641,3.6182711108440664,2253,22,211,1101
4/9/2016,99990010,6387,3.2923348532819783,2559,20,168,976
3/29/2016,99990011,6620,5.093466953143971,2323,19,214,1130
3/30/2016,99990011,10179,4.101090735216577,2838,15,162,873
3/31/2016,99990011,6269,3.399517684616402,2274,28,183,805
4/1/2016,99990011,5613,7.812388544751611,2610,10,159,981
4/2/2016,99990011,4000,3.5729190823908685,1847,0,138,1239
4/3/2016,99990011,8297,2.919057593584914,2022,16,141,990
4/4/2016,99990011,5489,3.936152062249711,2080,0,167,1077
4/5/2016,99990011,8239,7.1679907961596605,2284,2,111,801
4/1/2016,99990012,6044,5.909899933566501,1724,24,150,1241
4/10/2016,99990012,4654,2.807045853246067,2106,7,213,1147
4/2/2016,99990012,6873,3.3733602792669624,1951,34,217,881
